word,count
uruttu,317
brothers,317
veliya,317
dhaan,316
ethana,316
infinix,316
vendum,316
irukinga,315
panringa,315
feels,315
solranga,314
liked,314
jobs,313
vittu,313
insta,311
irundhu,309
wants,309
kamal,308
pothum,308
yenga,308
brooo,308
kutty,308
nal,307
yaaru,307
ithuku,305
ketta,304
daa,304
thanga,304
british,304
pesunga,302
bruh,301
bitcoin,301
subtitles,300
muruga,300
kuduthu,298
paiyan,298
maths,297
chinese,297
supar,297
vikram,297
unakku,296
mini,296
ipa,296
couldn,296
yaa,295
veg,295
vanakkam,295
achu,295
theatre,294
irukan,294
valamudan,294
mars,293
nahin,293
naanga,292
varudhu,292
pannala,290
facts,290
aunty,289
malai,288
ela,287
aguma,287
riyas,287
actors,286
studying,286
vdo,286
yesappa,286
kanyakumari,286
andhra,285
varaikum,285
neraiya,285
kaise,284
karna,284
poitu,284
madan,284
rha,284
ungal,283
vangalama,281
nanri,281
takes,281
irukura,280
vandhu,280
hindus,279
inum,278
ennada,278
unna,277
mins,277
flipkart,277
kastama,277
ads,275
kadavul,275
beginners,274
uk,274
paatha,274
photos,273
kevalama,273
wanna,272
played,272
paru,271
shri,271
kohli,271
thappa,271
ungaloda,271
pongal,271
kaga,270
ennala,269
makeup,269
maathiri,269
ungalukku,269
paathu,269
agala,268
players,268
sostherem,268
gaya,267
names,267
4ra,267
delhi,266
ethavathu,266
happens,265
sim,264
dubbed,264
lagnam,264
compared,264
illana,261
christian,261
admk,261
ap,261
pala,261
odisha,260
starts,260
velai,260
korea,259
ans,259
konja,259
yellam,258
aah,258
abhi,258
enakum,257
centre,257
youtuber,256
kodi,256
ev,256
leval,256
ab,255
ipl,255
alaga,255
ones,255
irukuma,254
solringa,254
bengal,254
varathu,254
vai,254
irukanum,253
aaga,252
thi,251
inda,251
fees,251
pathutu,250
pallavi,250
annan,250
panren,250
rahe,250
neram,248
naala,248
uno,247
playlist,247
dubai,247
vere,246
pandringa,246
panam,245
internet,245
veedu,244
kammi,244
guruji,244
fayas,243
unboxing,243
kandu,243
mata,242
memories,242
barbie,241
intro,241
pathirana,241
cuddalore,241
weeks,241
bajaj,241
died,240
nai,240
bangladesh,239
mathri,239
athan,239
onga,239
scenes,239
podcast,238
paaru,238
aachu,238
ravi,238
abt,237
superstar,237
java,237
feet,237
apne,237
thanku,236
sales,236
hari,236
viewers,236
theriyama,235
killed,235
logo,235
facebook,234
gandhi,234
vandha,234
yenda,233
sariya,233
animals,233
christmas,233
virat,233
podhu,232
calories,232
pogum,232
meenu,232
bol,231
diwali,231
vellore,231
unmaiya,231
channels,230
ponna,230
potri,229
yeh,228
nord,228
ajith,228
windows,228
ivanga,228
sharma,228
changes,228
pannen,228
pochu,227
companies,227
suggestions,227
veetla,227
seri,227
kandippa,226
uid,226
mudium,226
ipadi,225
kudathu,225
kanchipuram,225
films,224
mumbai,224
wala,224
dube,223
greatest,223
failed,223
achi,223
programming,223
amd,223
thalaivar,223
loves,222
paaka,222
apdiye,222
pasanga,222
seeman,222
ui,222
options,221
sivan,221
sooo,220
sathiyam,220
seconds,219
rasam,219
blockchain,217
rajini,217
items,217
soldra,217
athukku,216
users,216
motherboard,216
bcoz,216
tricks,216
yenaku,216
maharashtra,215
kitna,215
parties,215
seeds,215
lusu,215
pesura,214
ini,214
kudutha,214
theriyathu,214
lines,214
theva,213
kastam,212
therium,212
sunday,212
exercises,211
poren,211
perum,211
usdt,210
notes,210
kings,210
expecting,210
chala,210
evan,209
poo,209
malayali,209
combo,209
kam,209
vishal,209
ithe,209
tamizh,209
irukken,208
vidunga,208
vlogs,208
mohan,208
pandradhu,208
abs,208
gpu,207
ac,207
podi,207
sakthi,207
pondicherry,207
elam,206
shared,206
poguthu,205
november,205
vechu,205
types,205
kia,205
alot,205
endru,205
brahmins,205
required,205
noticed,204
narayana,204
mahindra,204
singapore,204
amzn,204
karthik,204
sonninga,204
updates,203
developed,203
masala,203
avana,203
vedios,203
studies,203
hiii,203
fuck,203
naruto,203
toys,202
medam,202
muslims,202
bata,202
padika,202
laam,202
changing,202
seiya,202
pudikum,201
yov,201
tamilians,201
irku,201
periods,201
vechi,201
adhuku,201
ooty,200
nepal,200
kalam,200
american,200
itna,199
cards,199
islam,199
potunga,199
paarunga,199
lives,199
aagala,198
meena,198
email,198
paka,198
creating,198
ilama,197
bible,197
diya,197
panalam,197
aaa,196
appadi,196
acha,196
niraya,196
binance,196
namaha,195
pathen,195
kadhal,195
soundarya,195
unka,195
irruka,195
adutha,194
amaran,194
venam,194
olunga,194
paththi,194
athigama,194
semmaya,194
patti,194
kalyanam,194
noor,194
vena,194
yepdi,193
idhula,193
namaste,193
thaniya,193
soldiers,192
podanum,192
returns,192
aaguma,191
shankar,191
niga,191
iran,191
manasu,191
episodes,191
bana,191
chahiye,191
expected,190
rohit,190
hanuman,190
visited,190
nov,190
chengalpattu,190
laye,190
baat,190
vangalam,189
pidikum,189
partha,189
por,189
ryzen,189
padi,188
eps,188
settings,188
